X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
-115.0278,43.81077,186316,,DEFAULT,34.5404,,,1598739209937,101,6,IDSCC,,,,Minimal,Group Torching,Single Tree Torching,Running,Natural,Lightning,,NH97,,2020/08/29 18:01:59,Type 4 Incident,,0,0,100,0,P4,0414,GBCC,2020/09/11 00:59:59,2020/09/04 00:00:00,2020/09/11 00:59:59,U,Type 4 IC,Leggit,"5 miles East of Atlanta, ID",WF,FI,43.81097,-114.9345,6,,{27B87B8D-5A5A-4113-A7FD-3D1CFF742FF7},,0,1,0,0,0,0,0,1,000315,1599786460297,0,0,,Elmore,IDSCC,16039,FS,IDSTF,,USFS,Federal,Boise,NE,SE,12E,33,6N,GB05,FS,IDSTF,US-ID,,,Timber (Grass and Understory),Short Grass (1 foot),1,2020-IDSTF-000315,Approved Decision,wildcad,ics209,,,,Type 5 Incident,2020/08/30 23:41:36,{E411B13E-CD53-46EA-99BB-9725B31BC6ED},2020/09/11 01:07:40,2020/08/29 22:13:29
-110.7436111,33.6952778,186348,,DEFAULT,459.8646,,,1598745503763,475,,AZPHC,,,,Minimal,Creeping,,,Natural,,,NJJ8,,2020/08/29 21:00:00,Type 5 Incident,,0,100,0,0,,,SWCC,2020/09/01 23:00:00,2020/08/31 23:00:00,2020/09/01 23:00:00,F,Type 5 IC,Buck,NE portion of the Salt River Wilderness@ the Border of the Apache Reservation,WF,FI,,,,,{7C8EEDEB-98A9-438E-B0ED-44E437AB7F54},,0,,,0,,,0,1,002664,1599003413620,100,100,Rossevelt,Gila,AZPHC,04007,FS,AZTNF,,USFS,Federal,1st Principal Meridian,,,R15E,14,4N,SW06N,FS,AZTNF,US-AZ,,,Brush (2 feet),,6,2020-AZTNF-002664,No Decision,ics209,ics209,,,,,,{FD71A248-DBE0-4BC8-8A0A-597A278F7D8D},2020/09/01 23:36:53,2020/08/29 23:58:23
-119.5679,38.56782,186368,,ICS209,26340.641,,,1598751039217,25131,0.1,NVSFC,,,,Active,Group Torching,Running,Flanking,Unknown,,,NH7R,,2020/08/30 01:02:00,Type 2 Incident,,0,100,0,0,P4,0417,GBCC,2020/09/13 00:00:00,2020/09/12 00:00:00,2020/09/13 00:00:00,U,Type 2 Team,Slink,"2 miles west of Coleville, CA",WF,FI,38.64249,-119.5275,3,,{4DE3802A-339C-4F3D-BD9A-61D55E9D2AA5},,0,1,0,0,0,0,0,1,030684,1600006815967,50,100,Coleville,Mono,NVSFC,06051,FS,NVHTF,,USFS,Federal,,,,,,,GB11,FS,NVHTF,US-CA,,,Timber (Grass and Understory),Short Grass (1 foot),496,2020-NVHTF-030684,Approved Decision,wildcad,wfdss,,,,Type 2 Incident,2020/09/06 14:26:42,{C6C8A074-C1E4-47B5-9039-5F6E506A6C84},2020/09/13 14:20:15,2020/08/30 01:30:39
-123.8527778,44.0202778,186508,,DEFAULT,513.0469,,,1598829734613,307,,OR78C,,,,Minimal,Smoldering,Creeping,Creeping,Human,,,NJB5,,2020/08/30 21:27:00,Type 1 Incident,,0,100,0,0,,,NWCC,2020/09/07 00:59:59,2020/09/06 00:59:59,2020/09/07 00:59:59,F,Type 1 Team,Sweet Creek MP 2,"1 mile south of Mapleton, OR",WF,FI,,,,,{3478184E-FA6D-48DD-9920-A034E81FF4F7},,0,1,,0,,,0,1,000037,1599453185873,100,100,Mapleton,Lane,OREIC,41039,,,,Private,Private,Willamette,,,10W,14,18S,NW03,DOF,OR781S,US-OR,,,Timber (Litter and Understory),Brush (2 feet),305,2020-OR781S-000037,Approved Decision,IROC,ics209,,,,Type 2 Incident,2020/08/31 14:13:19,{AD539E1B-E711-4B0B-B167-2E29F25FE568},2020/09/07 04:33:05,2020/08/30 23:22:14
-105.932,48.983,186597,,DEFAULT,,,,1598894531417,450,450,MTLEC,,,,,,,,Human,,,,,2020/08/29 17:13:00,,,,,,,,,NRCC,,,,,,FDH-MTLG37-292,,WF,FI,48.983,-105.932,,,{C8E32141-1386-4B65-B6C6-C6B9B82EA98A},,0,0,0,0,0,0,,1,000292,1598894630503,,,,Daniels,MTLEC,30019,DNRC,MTNES,,,,,,,,,,NR15,C&L,MTLG37,US-MT,,,,,,2020-MTLG37-000292,No Decision,wildcad,wildcad,,,,,,{51676D17-7455-4D7F-81FF-5C2A6DE62B91},2020/08/31 17:23:50,2020/08/31 17:22:11
-110.51,48.936,186600,,DEFAULT,,,,1598895037463,1000,1000,MTLEC,,,,,,,,Human,,,,,2020/08/27 17:26:59,,,,,,,,,NRCC,,,,,,FDH-MTLG12-294,,WF,FI,48.936,-110.51,,,{DAFF5E33-40D1-4104-8B46-A9B59EF3CD1E},,0,0,0,0,0,0,,1,000294,1598895077857,,,,Hill,MTLEC,30041,,,,Private,Private,,,,,,,NR13,BLM,MTNCD,US-MT,,,,,,2020-MTNCD-000294,No Decision,wildcad,wildcad,,,,,,{8F7CCA17-AF74-435D-B606-DCCDBC9E4765},2020/08/31 17:31:17,2020/08/31 17:30:37
-120.7988,46.85423,186658,,ICS209,75766.3783,,,1598914521360,75817,5,WACWC,,,,Minimal,Smoldering,Creeping,Flanking,Unknown,,,NJF9,,2020/08/31 21:29:00,Type 3 Incident,,0,100,0,0,PN,1502,NWCC,2020/09/12 00:59:59,2020/09/11 14:00:00,2020/09/12 00:59:59,U,Type 3 Team,EVANS CANYON,"Grass, Brush, Timber",WF,FI,46.84789,-120.7715,2,,{16DC7F93-8C52-4CCC-8256-B2FE9F18DF75},,0,1,0,0,0,0,0,1,000565,1599878338960,90,100,Naches,Yakima,WACWC,53077,DNR,WASES,,State,Other,,,,,,,NW05,DNR,WASES,US-WA,,,Timber (Grass and Understory),Brush (2 feet),89,2020-WASES-000565,Approved Decision,wildcad,ics209,,,,Type 2 Incident,2020/09/04 20:58:32,{1E0101AE-ACC3-4DA4-842A-6EEEC9E7F288},2020/09/12 02:38:58,2020/08/31 22:55:21
-118.907733333,36.7915,186804,,DEFAULT,,,,1598992077960,,,CASQCC,,,,,,,,,,,NJN7,,2020/09/01 18:21:59,,,,,,,,,OSCC,,,,,,SHORE,,WF,FI,,,,,{A8380AF4-4D40-4C0B-9300-C7D50AA79F59},,0,0,0,0,0,0,,1,002718,1599862284123,,,,Fresno,CASQCC,06019,FS,CASQF,,USFS,Federal,,,,,,,SC03,FS,CASQF,US-CA,,,,,,2020-CASQF-002718,No Decision,firecode,INFORM_Inspector,,,,,,{0A1BFC54-F765-46DF-B616-BFD05BE7C4C1},2020/09/11 22:11:24,2020/09/01 20:27:57
-121.2699,44.16174,186824,,DEFAULT,,,,1598998098033,0.1,0.1,ORCOC,,,,,,,,Human,,,NJQ3,,2020/09/01 21:58:00,,,,,,,PN,1502,NWCC,,,,,,0825 NW,,WF,FI,44.14565,-121.2711,,,{189DA3AD-DFD8-49C3-AEE0-127C4EAC5186},,0,1,0,0,1,0,,1,000825,1599950862293,,,,Deschutes,ORCOC,41017,,,,Private,Private,,,,,,,NW06,C&L,ORBENN,US-OR,,,,,,2020-ORBENN-000825,No Decision,wildcad,INFORM_Inspector,,,,,,{E4717E94-CD60-4C88-86A6-8E95998D7926},2020/09/12 22:47:42,2020/09/01 22:08:18
-122.634759,39.013659,186835,,DEFAULT,,,,1599000976197,,0.1,CALNCC,,,,,,,,Unknown,,,,,2020/09/01 22:56:14,,,,,,,,,ONCC,,,,,,CATHOLIC,,WF,FI,39.013659,-122.634759,,,{E59EED92-34A8-4E56-B628-A5DAE55AECF3},,0,,,0,,,,1,014325,1599849253273,,,,Lake,CALNCC,06033,,,,Private,Private,,,,,,,NC02,,CALNU,US-CA,,,,,,2020-CALNU-014325,No Decision,cfcad,cfcad,,,,,,{AEB940AA-6C73-4521-ADC6-16552B57AD29},2020/09/11 18:34:13,2020/09/01 22:56:16
